"DISTRICT","Count"
"KAILALI",1927
"SURKHET",1234
"BARDIYA",957
"DANG",926
"KANCHANPUR",738
"DARCHULA",671
"BANKE",654
"SINDHULI",547
"SIRAHA",542
"MAKAWANPUR",476
"CHITAWAN",453
"SAPTARI",429
"KAPILBASTU",425
"UDAYAPUR",396
"BHOJPUR",395
"KHOTANG",385
"SOLUKHUMBU",374
"RUKUM_W",371
"OKHALDHUNGA",332
"RUKUM_E",322
"JHAPA",307
"MORANG",256
"SINDHUPALCHOK",241
"SUNSARI",221
"SALYAN",190
"BAITADI",166
"ACHHAM",134
"DAILEKH",127
"BAJHANG",107
"TANAHU",106
"SYANGJA",104
"PARBAT",102
"ILAM",101
"GORKHA",100
"MYAGDI",100
"LAMJUNG",99
"KASKI",97
"NAWALPARASI_E",91
"DOLAKHA",90
"DADELDHURA",58
"RAMECHHAP",57
"HUMLA",53
"BAGLUNG",44
"DOLPA",39
"MANANG",32
"JAJARKOT",30
"BHAKTAPUR",27
"MUSTANG",25
"DHADING",17
"KABHREPALANCHOK",13
"SANKHUWASABHA",12
NA,12
"NUWAKOT",7
"LALITPUR",6
"DHANUSHA",4
"GULMI",4
"DHANKUTA",3
"MAHOTTARI",3
"PARSA",3
"ARGHAKHANCHI",2
"ROLPA",2
"BARA",1
"DOTI",1
"JUMLA",1
"MUGU",1
"NAWALPARASI_W",1
"PYUTHAN",1
"RUPANDEHI",1
"SARLAHI",1
